case,Q_veh_h,T_work_h,mean_deltaH,median_deltaH,median_rel_deltaH,p_benefit,p_benefit_lo95,p_benefit_hi95
baseline_fastDeploy,600,0.10000000000000001,-5.9641991331916629e-09,2.573647731020698e-09,0.026582027781044196,0.14449999999999999,0.13969547599676516,0.14944106163912516
baseline_fastDeploy,600,0.25,-2.6899488384543424e-08,2.581888800391204e-09,0.010642930427304208,0.1474,0.14255462955393602,0.15238079427282894
baseline_fastDeploy,600,0.5,-6.7214824952399869e-08,2.6778056056157194e-09,0.0053112292699378592,0.14879999999999999,0.14393514553527798,0.15379974059052987
baseline_fastDeploy,600,1,-1.3565355042714192e-07,2.5591032875218595e-09,0.0026556541396304699,0.14385000000000001,0.13905472256509999,0.14878206471766331
baseline_fastDeploy,600,2,-2.9374233238010368e-07,2.5604219556745408e-09,0.0013264311557690141,0.14949999999999999,0.14462546009917288,0.15450915717615643
baseline_fastDeploy,600,4,-6.2677444637898311e-07,2.5255673995662695e-09,0.00066270564541424243,0.15590000000000001,0.15093861625006372,0.16099354296374746
baseline_fastDeploy,800,0.050000000000000003,1.9338129519254805e-09,3.4515670647460613e-09,0.0528707880776218,0.14335000000000001,0.1385618583339818,0.14827512098483761
baseline_fastDeploy,800,0.10000000000000001,-7.6673596904692885e-09,3.3828460912126719e-09,0.02663065631468213,0.14499999999999999,0.14018838616664928,0.14994795943318498
baseline_fastDeploy,800,0.25,-4.0842689474064112e-08,3.4585162562201039e-09,0.010580671411588775,0.15140000000000001,0.14649935908785858,0.15643452845045755
baseline_fastDeploy,800,0.5,-9.868760371054978e-08,3.4784427086724861e-09,0.0053095760411699649,0.15210000000000001,0.14718981157767044,0.15714380711016715
baseline_fastDeploy,800,1,-1.9927345003311124e-07,3.5055483981167679e-09,0.002652831814440257,0.14795,0.14309695704856051,0.15293825553854273
baseline_fastDeploy,800,2,-4.2634831578835191e-07,3.3610683680852161e-09,0.0013260263984635038,0.1547,0.14975466853025166,0.15977795157009417
baseline_fastDeploy,800,4,-7.8706527770768744e-07,3.5711828193571229e-09,0.00066482483667273701,0.14660000000000001,0.1417658315628649,0.15156989952158981
baseline_fastDeploy,1000,0.050000000000000003,3.4421835448218805e-09,4.3910204675437995e-09,0.053190142209844568,0.13694999999999999,0.13225500419125721,0.14178443318908032
baseline_fastDeploy,1000,0.10000000000000001,-8.685144488284872e-09,4.6191776631704337e-09,0.026512436454653291,0.14374999999999999,0.13895614811373294,0.14868067757624157
baseline_fastDeploy,1000,0.25,-4.7322690633106452e-08,4.3306597248167815e-09,0.010630525662385162,0.1454,0.14058272858549536,0.15035346338549399
baseline_fastDeploy,1000,0.5,-1.1326292014410992e-07,4.3419834872724761e-09,0.0053122396895515633,0.14795,0.14309695704856051,0.15293825553854273
baseline_fastDeploy,1000,1,-2.420230140034241e-07,4.4334266078793695e-09,0.0026606865000426754,0.14785000000000001,0.14299835030561744,0.15283690068869701
baseline_fastDeploy,1000,2,-4.7789508599748609e-07,4.3999635624032859e-09,0.0013279135622679961,0.14665,0.14181512997359899,0.15162058190725011
baseline_fastDeploy,1000,4,-1.0359503918248136e-06,4.2270406299105979e-09,0.00066320596886559034,0.15160000000000001,0.14669662747722748,0.15663718324666623
baseline_corr_plausible,50,0.050000000000000003,1.0559544227840065e-09,4.6049261544813223e-10,0.10970499854151219,0.12485,0.12034082792891938,0.12950325672397595
baseline_corr_plausible,50,0.10000000000000001,3.279653403601631e-10,4.5102491888610076e-10,0.05476118512929927,0.13235,0.12772409774130569,0.137117106370748
baseline_corr_plausible,50,0.25,-1.9462561971903023e-09,4.4368623707241999e-10,0.021845940250474354,0.14915,0.14428029812564713,0.15415445357492147
baseline_corr_plausible,50,0.5,-4.676763792605559e-09,4.480875662703704e-10,0.010970063931724365,0.1462,0.14137145132660814,0.15116443338669147
baseline_corr_plausible,50,1,-1.254812417126212e-08,4.330684817356651e-10,0.005480949301339957,0.15045,0.14556237539727632,0.15547187700954637
baseline_corr_plausible,50,2,-2.5952406113345032e-08,4.3616878842123723e-10,0.0027401311685750539,0.14824999999999999,0.14339278191681287,0.15324231544865669
baseline_corr_plausible,50,4,-5.3960968279955598e-08,4.2712292541163255e-10,0.0013676941551350344,0.14940000000000001,0.14452684143657227,0.15440781424596825
baseline_corr_plausible,100,0.050000000000000003,2.1746425082541866e-09,9.4981568856005016e-10,0.1097765692654358,0.1239,0.11940599021322229,0.12853845930817959
baseline_corr_plausible,100,0.10000000000000001,6.2685200739115912e-10,9.0378822285058037e-10,0.0548857147266925,0.13830000000000001,0.13358507247426984,0.14315384640871623
